countryiso3code,date,SL.UEM.TOTL.ZS
FCS,2017-01-01,5.8948327706098
FCS,2016-01-01,5.68924640774221
FCS,2015-01-01,5.56156546937
FCS,2014-01-01,5.47976437989785
HPC,2023-01-01,4.62453871067687
HPC,2022-01-01,4.53413252881047
HPC,2021-01-01,5.00277864750535
HPC,2020-01-01,5.14928541148268
HPC,2019-01-01,4.42264514071187
HPC,2018-01-01,4.42870182767585
HPC,2017-01-01,4.52973789368646
HPC,2016-01-01,4.50307279627057
HPC,2015-01-01,4.53651404370612
HPC,2014-01-01,4.37204689259815
,2023-01-01,4.38700603790303
,2022-01-01,4.49389346917888
,2021-01-01,5.55748978604597
,2020-01-01,6.45454672929744
,2019-01-01,4.76129186481174
,2018-01-01,5.08423937936413
,2017-01-01,5.59048004106759
,2016-01-01,6.1350678610476
,2015-01-01,6.57599324756492
,2014-01-01,7.06204225859806
IBD,2023-01-01,5.11937184371446
IBD,2022-01-01,5.5429437498218
IBD,2021-01-01,6.26635804865074
IBD,2020-01-01,6.90114930060324
IBD,2019-01-01,6.03343538961832
IBD,2018-01-01,6.25104228526483
IBD,2017-01-01,6.38365785226418
IBD,2016-01-01,6.43501732012467
IBD,2015-01-01,6.339557593381
IBD,2014-01-01,6.21740041305352
IBT,2023-01-01,5.08018735510528
IBT,2022-01-01,5.42348763382878
IBT,2021-01-01,6.12599755797436
IBT,2020-01-01,6.60512581745327
IBT,2019-01-01,5.7571242987576
IBT,2018-01-01,5.90275075836632
IBT,2017-01-01,5.99271648498029
IBT,2016-01-01,5.99513667842469
IBT,2015-01-01,5.94812577845476
IBT,2014-01-01,5.79080587385922
IDB,2023-01-01,4.8103699956364
IDB,2022-01-01,5.14842501363786
IDB,2021-01-01,6.03506508265734
IDB,2020-01-01,6.03722074655765
IDB,2019-01-01,5.20260195436894
IDB,2018-01-01,4.81834732009468
IDB,2017-01-01,4.33948088709596
IDB,2016-01-01,3.73569867015158
IDB,2015-01-01,4.06531889057804
IDB,2014-01-01,3.3297977541972
IDX,2023-01-01,5.017920411237
IDX,2022-01-01,4.98009182157722
IDX,2021-01-01,5.48651888609626
IDX,2020-01-01,5.42075528212085
IDX,2019-01-01,4.61487334501369
IDX,2018-01-01,4.60310662839116
IDX,2017-01-01,4.69410672669928
IDX,2016-01-01,4.66916808051881
IDX,2015-01-01,4.67812536837399
IDX,2014-01-01,4.55708769890908
IDA,2023-01-01,4.95281977990232
IDA,2022-01-01,5.03283381694065
IDA,2021-01-01,5.6582175777984
IDA,2020-01-01,5.6126747960257
IDA,2019-01-01,4.79765160867445
IDA,2018-01-01,4.66995645285721
IDA,2017-01-01,4.58345571310177
IDA,2016-01-01,4.37558670626809
IDA,2015-01-01,4.48448949652961
IDA,2014-01-01,4.17076476017499
LTE,2023-01-01,4.84214780024556
LTE,2022-01-01,5.20529779757495
LTE,2021-01-01,5.50931419951374
LTE,2020-01-01,5.92878593561638
LTE,2019-01-01,5.18904341207345
LTE,2018-01-01,5.04578213220743
LTE,2017-01-01,5.26563670781674
LTE,2016-01-01,5.27204239472755
LTE,2015-01-01,5.09816178315488
LTE,2014-01-01,4.92325043385231
LCN,2023-01-01,6.22089586370748
LCN,2022-01-01,6.90545810417572
LCN,2021-01-01,9.16755715897365
LCN,2020-01-01,10.2126842763956
LCN,2019-01-01,8.01658034651881
LCN,2018-01-01,7.95304389320945
LCN,2017-01-01,8.04964446167378
LCN,2016-01-01,7.75391609010849
LCN,2015-01-01,6.6871667035049
LCN,2014-01-01,6.18450632911304
LAC,2023-01-01,6.13213708847925
LAC,2022-01-01,6.88776049465308
LAC,2021-01-01,9.23885173523541
LAC,2020-01-01,10.2733823272858
LAC,2019-01-01,8.12851324619014
LAC,2018-01-01,8.09059653566877
LAC,2017-01-01,8.23194430209279
LAC,2016-01-01,7.90667470796857
LAC,2015-01-01,6.70202119320166
LAC,2014-01-01,6.09934747981062
TLA,2023-01-01,6.30454339239509
TLA,2022-01-01,7.00229002695219
TLA,2021-01-01,9.30145763900851
TLA,2020-01-01,10.3689261961107
TLA,2019-01-01,8.13346018819447
TLA,2018-01-01,8.05797023948191
TLA,2017-01-01,8.15207411416684
TLA,2016-01-01,7.83885831371641
TLA,2015-01-01,6.74007836174036
TLA,2014-01-01,6.21057432497064
LDC,2023-01-01,5.3022047503225
LDC,2022-01-01,5.25129524726093
LDC,2021-01-01,5.82743118087222
LDC,2020-01-01,5.74422876568591
LDC,2019-01-01,4.96337678965536
LDC,2018-01-01,4.95126747795396
LDC,2017-01-01,5.05965680278078
LDC,2016-01-01,4.97735571040009
LDC,2015-01-01,4.89410977009747
LDC,2014-01-01,4.79949004887785
LMY,2023-01-01,5.09892428882732
LMY,2022-01-01,5.4527967740796
LMY,2021-01-01,6.1479540310899
LMY,2020-01-01,6.61472887377826
LMY,2019-01-01,5.78935121664157
LMY,2018-01-01,5.92839217387876
LMY,2017-01-01,6.00338296990549
LMY,2016-01-01,5.98192555871534
LMY,2015-01-01,5.91321332395688
LMY,2014-01-01,5.74188710672605
,2023-01-01,5.31143248284265
,2022-01-01,5.14926266343129
,2021-01-01,5.65437681718971
,2020-01-01,5.70806788893761
,2019-01-01,5.00826879309828
,2018-01-01,5.01295803880824
,2017-01-01,5.0892095856532
,2016-01-01,4.99568946610451
,2015-01-01,4.89741384126824
,2014-01-01,4.79145811828767
,2023-01-01,4.49909170990787
,2022-01-01,4.94016547872947
,2021-01-01,6.05135761023369
,2020-01-01,6.70232245326264
,2019-01-01,5.64287059341806
,2018-01-01,6.14458475751361
,2017-01-01,6.22011004292745
,2016-01-01,6.18228054260817
,2015-01-01,6.33438594890753
,2014-01-01,6.21477276247579
MEA,2023-01-01,9.22527629027245
MEA,2022-01-01,9.55675996872468
MEA,2021-01-01,10.108600541377
MEA,2020-01-01,10.4932836820598
MEA,2019-01-01,9.75438801996505
MEA,2018-01-01,10.4034809410759
MEA,2017-01-01,10.797465686371
MEA,2016-01-01,10.614383939186
MEA,2015-01-01,10.541031620978
MEA,2014-01-01,10.2769842504711
MNA,2023-01-01,10.8744458910793
MNA,2022-01-01,11.1777437501809
MNA,2021-01-01,11.7053721951154
MNA,2020-01-01,12.0543845266066
MNA,2019-01-01,11.4990845341433
MNA,2018-01-01,12.2635996062965
MNA,2017-01-01,12.7176995786461
MNA,2016-01-01,12.5166150150821
MNA,2015-01-01,12.3675282557496
MNA,2014-01-01,11.9095490156231
TMN,2023-01-01,10.8744458910793
TMN,2022-01-01,11.0270037297221
TMN,2021-01-01,11.5419431036778
TMN,2020-01-01,11.9094146582887
TMN,2019-01-01,11.3500577984175
TMN,2018-01-01,12.1183901510572
TMN,2017-01-01,12.5840105227982
TMN,2016-01-01,12.4010345475513
TMN,2015-01-01,12.2599451746199
TMN,2014-01-01,11.8273678370857
MIC,2023-01-01,5.07688546290496
MIC,2022-01-01,5.48401549316289
MIC,2021-01-01,6.19770077175134
MIC,2020-01-01,6.70538259372903
MIC,2019-01-01,5.86493424488872
MIC,2018-01-01,6.01535548161313
MIC,2017-01-01,6.08859672281781
MIC,2016-01-01,6.07205217797714
MIC,2015-01-01,6.00433934951919
MIC,2014-01-01,5.82618820308018
NAC,2023-01-01,3.82480514362416
NAC,2022-01-01,3.83374835132991
NAC,2021-01-01,5.59299605694151
NAC,2020-01-01,8.23128983545338
NAC,2019-01-01,3.89241194091645
NAC,2018-01-01,4.1087380763703
NAC,2017-01-01,4.58159619810452
NAC,2016-01-01,5.10547669523075
NAC,2015-01-01,5.46180275648935
NAC,2014-01-01,6.26148266320497
OED,2023-01-01,4.81907315738235
OED,2022-01-01,4.98417502472304
OED,2021-01-01,6.19380130575329
OED,2020-01-01,7.14151055635845
OED,2019-01-01,5.38904353838096
OED,2018-01-01,5.46951508208401
OED,2017-01-01,5.90735032407124
OED,2016-01-01,6.43543073237329
OED,2015-01-01,6.85222359904241
OED,2014-01-01,7.40189151006678
OSS,2023-01-01,8.15238482768171
OSS,2022-01-01,8.27402660239825
OSS,2021-01-01,8.7356119554679
OSS,2020-01-01,9.12084049089226
OSS,2019-01-01,7.55897242328313
OSS,2018-01-01,7.84284122860608
OSS,2017-01-01,8.21544312614478
