countryiso3code,date,FP.CPI.TOTL
KHM,2020-01-01,133.938838017668
KHM,2019-01-01,130.113128034144
KHM,2018-01-01,127.633746767247
KHM,2017-01-01,124.570453245464
KHM,2016-01-01,121.044857661075
KHM,2015-01-01,117.497445574856
KHM,2014-01-01,116.076745197925
CMR,2023-01-01,141.818332882446
CMR,2022-01-01,132.067998413642
CMR,2021-01-01,124.302010149149
CMR,2020-01-01,121.540776745136
CMR,2019-01-01,118.648588290011
CMR,2018-01-01,115.808046057299
CMR,2017-01-01,114.583313019794
CMR,2016-01-01,113.854180430792
CMR,2015-01-01,112.867503568736
CMR,2014-01-01,109.925634907972
CAN,2023-01-01,134.895535203205
CAN,2022-01-01,129.858328563251
CAN,2021-01-01,121.587006296508
CAN,2020-01-01,117.594447624499
CAN,2019-01-01,116.757298225529
CAN,2018-01-01,114.524899828277
CAN,2017-01-01,111.984831139096
CAN,2016-01-01,110.224670864339
CAN,2015-01-01,108.672009158557
CAN,2014-01-01,107.462793360046
CYM,2016-01-01,102.941899128965
CYM,2015-01-01,103.589601772708
CYM,2014-01-01,106.079855772852
CAF,2023-01-01,175.005796934209
CAF,2022-01-01,169.942960718886
CAF,2021-01-01,160.95649049113
CAF,2020-01-01,154.380847959423
CAF,2019-01-01,151.785085312376
CAF,2018-01-01,147.815682079127
CAF,2017-01-01,145.470469904858
CAF,2016-01-01,139.632808518549
CAF,2015-01-01,133.052773088714
CAF,2014-01-01,131.211909142167
TCD,2023-01-01,143.049515597449
TCD,2022-01-01,129.063711291026
TCD,2021-01-01,122.00219164626
TCD,2020-01-01,122.952422521941
TCD,2019-01-01,117.698204738763
TCD,2018-01-01,118.853387371944
TCD,2017-01-01,113.981125136835
TCD,2016-01-01,115.760479031492
TCD,2015-01-01,116.685139362731
TCD,2014-01-01,111.791867727178
CHL,2023-01-01,170.651472801548
CHL,2022-01-01,158.625026875941
CHL,2021-01-01,142.081272844549
CHL,2020-01-01,135.930982584391
CHL,2019-01-01,131.913566974844
CHL,2018-01-01,128.623951838314
CHL,2017-01-01,125.566544829069
CHL,2016-01-01,122.884325951408
CHL,2015-01-01,118.401419049667
CHL,2014-01-01,113.466996344872
CHN,2023-01-01,132.229151902431
CHN,2022-01-01,131.919356668535
CHN,2021-01-01,129.366216637457
CHN,2020-01-01,128.109443605623
CHN,2019-01-01,125.083154382075
CHN,2018-01-01,121.558877866113
CHN,2017-01-01,119.088050428682
CHN,2016-01-01,117.220567369674
CHN,2015-01-01,114.922122819495
CHN,2014-01-01,113.294060199837
COL,2023-01-01,184.119324369034
COL,2022-01-01,164.780806314133
COL,2021-01-01,149.559763199866
COL,2020-01-01,144.509087395731
COL,2019-01-01,140.94784969246
COL,2018-01-01,136.151216036968
COL,2017-01-01,131.877630006754
COL,2016-01-01,126.423331457792
COL,2015-01-01,117.588375602645
COL,2014-01-01,111.999775887943
COD,2016-01-01,133.850926577035
COD,2015-01-01,130.096534344839
COD,2014-01-01,129.135509183589
COG,2023-01-01,138.814612802413
COG,2022-01-01,133.089443475834
COG,2021-01-01,129.158575405592
COG,2020-01-01,126.980051354846
COG,2019-01-01,124.740496075729
COG,2018-01-01,122.048027425109
COG,2017-01-01,120.657117555654
COG,2016-01-01,120.116516568787
COG,2015-01-01,116.402619073639
COG,2014-01-01,112.827020267541
CRI,2023-01-01,143.695505220117
CRI,2022-01-01,142.944768574546
CRI,2021-01-01,132.020379357515
CRI,2020-01-01,129.77976091938
CRI,2019-01-01,128.845743336848
CRI,2018-01-01,126.20052189975
CRI,2017-01-01,123.458369999913
CRI,2016-01-01,121.483166772673
CRI,2015-01-01,121.50440434597
CRI,2014-01-01,120.53771357375
CIV,2023-01-01,130.764985523184
CIV,2022-01-01,125.269275743533
CIV,2021-01-01,118.991105987766
CIV,2020-01-01,114.313454421135
CIV,2019-01-01,111.606977877028
CIV,2018-01-01,112.856141244189
CIV,2017-01-01,112.451978676858
CIV,2016-01-01,111.685945921178
CIV,2015-01-01,110.884056313105
CIV,2014-01-01,109.513495413212
HRV,2023-01-01,134.878310665712
HRV,2022-01-01,124.955261274159
HRV,2021-01-01,112.795275590551
HRV,2020-01-01,109.985683607731
HRV,2019-01-01,109.815676449535
HRV,2018-01-01,108.974588403722
HRV,2017-01-01,107.363994273443
HRV,2016-01-01,106.164996420902
HRV,2015-01-01,107.372942018611
HRV,2014-01-01,107.874015748031
CUW,2019-01-01,115.533202128435
CUW,2018-01-01,112.58109191632
CUW,2017-01-01,109.745608280487
CUW,2016-01-01,108.032655441358
CUW,2015-01-01,108.083679568482
CUW,2014-01-01,108.601210000729
