countryiso3code,date,NY.GDP.MKTP.CD,FP.CPI.TOTL,SL.UEM.TOTL.ZS
BHR,2015-01-01,31125851063.8298,110.529042157059,1.166
BHR,2014-01-01,33387712765.9574,108.522858827732,1.146
BGD,2023-01-01,437415331040.994,237.199569600947,5.06
BGD,2022-01-01,460131688909.301,215.864586624407,5.247
BGD,2021-01-01,416271647002.435,200.437039174984,5.815
BGD,2020-01-01,373979442653.343,189.905534708779,5.828
BGD,2019-01-01,351231655150.827,179.679821747048,4.693
BGD,2018-01-01,321362751137.574,170.164243384102,4.532
BGD,2017-01-01,293732447017.328,161.226458913586,4.372
BGD,2016-01-01,265224514652.992,152.529140322278,4.35
BGD,2015-01-01,195146607942.291,144.558850888013,4.382
BGD,2014-01-01,172886611131.255,136.126776861358,4.406
BRB,2023-01-01,6393564189.61345,170.890071679653,7.954
BRB,2022-01-01,5840673700.0,155.64882826163,8.493
BRB,2019-01-01,5367139250.0,134.091174070188,8.413
BRB,2018-01-01,5128345200.0,128.809607088726,8.322
BRB,2017-01-01,5000457800.0,124.24507403521,8.622
BRB,2016-01-01,4848210350.0,118.712836656173,8.247
BRB,2015-01-01,4738650450.0,117.210285040264,9.803
BRB,2014-01-01,4711838650.0,118.52926677929,12.17
BLR,2023-01-01,71857382745.6066,710.463188170058,3.574
BLR,2022-01-01,73775179924.603,676.627747581603,3.574
BLR,2021-01-01,69673747131.87,587.301149813956,3.9
BLR,2020-01-01,61371755326.2351,536.542688278354,4.049
BLR,2019-01-01,64410122847.3508,508.339294380209,4.165
BLR,2018-01-01,60031173807.7196,481.390313879142,4.763
BLR,2017-01-01,54725302249.8088,459.025218055968,5.648
BLR,2016-01-01,47723545321.259,432.912632614287,5.844
BLR,2015-01-01,56454889146.6088,387.093945157894,5.881
BLR,2014-01-01,78812805039.0743,340.948328529255,5.911
BEL,2023-01-01,632216577075.109,137.819385631235,5.508
BEL,2022-01-01,583613982019.263,132.456219048303,5.558
BEL,2021-01-01,600904461226.347,120.856958300438,6.264
BEL,2020-01-01,526021513474.243,117.978001866073,5.555
BEL,2019-01-01,535865804349.803,117.110457187971,5.36
BEL,2018-01-01,543299066998.902,115.451625636977,5.948
BEL,2017-01-01,502764720556.354,113.128902605325,7.086
BEL,2016-01-01,476062757356.927,110.773882150291,7.83
BEL,2015-01-01,462335574841.484,108.629692097897,8.482
